"timestamp","signature","pool_id","maker","base_amount","quote_amount","quote_usd","side","fake_volume","program","d_app","network_fee","jito_fee","asset_price_in_usd"
"2025-06-06 18:33:33.825","56VGiWG8iqHYKxkhGijH494rtEnmLKr3u1idhATGbrbxviFCrU3g5tjFe8DW8RyDDJcjAmrga3tdVQzsLNRJWAQq","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","3TCM8uZMU3PGLsoRaSZGTmVRg5kPjT6sQ7xaMToAmaF1","63909090.90909","1.9","149.08301188000002","0","false","3","0","0.001453064","0","0.0000044321976504865495"
"2025-06-06 18:33:33.827","kCAUaUQbXrrTSmpsDfCkd8QEMizf2Cy5FQxTLHWNha2qyFMharJEBVUCaCDSArXWq2115zPvcbwTkrfpZj3BBFB","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","EzAeCj9MGACJhPy1eXTN126fCCV1P9WApKNUdXdgMCoY","29182233.291822","0.95","149.08301188000002","0","false","3","0","0.000368782","0","0.0000048532564272827584"
"2025-06-06 18:33:33.834","5VHHtUSXChCBpun1uD9amPn2Hhu2x1Wxrj6kEFD5w37JqWCfnPTfUvnGMUzC272GgPT8Fe1swybFnNZAxdS59YEK","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","BsEGywni56CFweTf5YS6z6q2q7uFySfwm85zmEtsTmQw","27259963.162211","0.94","149.08301188000002","0","false","3","0","0.000500558","0","0.000005140800460121887"
"2025-06-06 18:33:33.889","i8V5aNvwmQfDpphCJz75xj8SL6NUbuFL633evB3NABcwvU1MfyGyS6MA1sq6oWY7d4z5J6eKy1BbyfoZfG3Qen5","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","8aaRWuPGNP1qoBk7jE9ZRMaUhNnCn1cujjUkv6KoEzVL","4158448.457468","0.148144877","149.08301188000002","0","false","3","0","0.000024681000000000003","0","0.000005311087701012367"
"2025-06-06 18:33:33.890","Pt2BSmN1NKYfrUp3x1F1buPnw7j2EbhDyrYtWTNxBWR5VNYaN9fWaQouhyL8QHPHzrruyxeynJdCAeZ1tv5jKN8","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","9DnQFN6MhVp7DQ4EdG51k9wNPhov1LMLwFcs1FTY5WsG","3071814","0.110270398","149.08301188000002","0","false","3","0","0.0000086","0","0.00000535170523184227"
"2025-06-06 18:33:33.939","mE6xxwJpCGoECmo7Y4FpQtnsKGyYme3Ln8fmhEfNRns52assMgepS4mRttUTuaPNz7Mc6ZNixBsp5foUCAW1xaU","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","3CAYRzRRoJN2TC27abkVo4przxTia2oFchH3Tu1TCGkE","2973926.178449","0.10744131","149.08301188000002","0","false","3","0","0.000024681000000000003","0","0.000005386036214081987"
"2025-06-06 18:33:34.007","niTqo4948Q7H4Zv2jGfXeyi4C8pDHmGFzYhW5ZEMgRSZC2AeNKYZ4uoXzDNtHVW9DS16hsYgDzcY9mmbcAEjjZU","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","JB4wUM3NRJrs8efHhqBLgQGSVDGU84emqo8KQFv2vwM7","5290983.862087","0.192837223","149.08301188000002","0","false","3","0","0.000045","0","0.000005433536513580562"
"2025-06-06 18:33:34.035","5yUWX6fX1et89M2ijRdRenQBSMYLFkVnxZGJv2giQna9HCGnkqZ6DxkEky4kp5wwFCypbM9wBNtHS44LwiUrBnXa","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","2GJL7f5fmEmbRAUThG2PKRYaP7JQ8Fs13bcdXpdDMTaQ","7912072.553589","0.292463657","149.08301188000002","0","false","3","0","0.000045","0","0.000005510738501913914"
"2025-06-06 18:33:34.133","4LvRFTfKL3JXVxrv8BSpvXDvUQQz3QQ7ot93MMCWBdAxJvfW2fmnjrDwb1VVTGcTx9fsFC5ZJzYaqjjwf9G5C7pu","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","8aaRWuPGNP1qoBk7jE9ZRMaUhNnCn1cujjUkv6KoEzVL","4158448.457468","0.154331991","149.08301188000002","1","false","3","0","0.000024681000000000003","0","0.000005532899657899418"
"2025-06-06 18:33:34.138","5ctpAsyNb245WdrVTiJ5yXaKLzJa99DYJALHobHbiKQxL7iw8dpEwhF1LguHPBN5p6jhLQisvxuSs578DD9U5F8b","23w6YT6C3JoiyKNfKRnLnnmAo6xEAEae5Thm7hBu41Kt","GFu8UmXBN2bHmKSSJjeHKSBTXSUe4fcQdeGdHJ4zR53","2720432.726309","0.100807089","149.08301188000002","0","false","3","0","0.000024681000000000003","0","0.000005524350704075523"
